$CPCI, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
10/17/2003,     2.0000,     2.0000,     2.0000,     2.0000,             0 
10/20/2003,     1.0900,     1.0900,     1.0900,     1.0900,             0 
10/21/2003,     1.2700,     1.2700,     1.2700,     1.2700,             0 
10/22/2003,     1.8900,     1.8900,     1.8900,     1.8900,             0 
10/23/2003,     1.6000,     1.6000,     1.6000,     1.6000,             0 
10/24/2003,     1.4900,     1.4900,     1.4900,     1.4900,             0 
10/27/2003,     1.3700,     1.3700,     1.3700,     1.3700,             0 
10/28/2003,     1.0600,     1.0600,     1.0600,     1.0600,             0 
10/29/2003,     0.9200,     0.9200,     0.9200,     0.9200,             0 
10/30/2003,     1.4900,     1.4900,     1.4900,     1.4900,             0 
10/31/2003,     1.6500,     1.6500,     1.6500,     1.6500,             0 
11/03/2003,     1.2900,     1.2900,     1.2900,     1.2900,             0 
11/04/2003,     1.4300,     1.4300,     1.4300,     1.4300,             0 
11/05/2003,     1.5700,     1.5700,     1.5700,     1.5700,             0 
11/06/2003,     1.4600,     1.4600,     1.4600,     1.4600,             0 
11/07/2003,     1.8500,     1.8500,     1.8500,     1.8500,             0 
11/10/2003,     1.5700,     1.5700,     1.5700,     1.5700,             0 
11/11/2003,     2.1000,     2.1000,     2.1000,     2.1000,             0 
11/12/2003,     1.4100,     1.4100,     1.4100,     1.4100,             0 
11/13/2003,     1.5800,     1.5800,     1.5800,     1.5800,             0 
11/14/2003,     1.4600,     1.4600,     1.4600,     1.4600,             0 
11/17/2003,     1.5300,     1.5300,     1.5300,     1.5300,             0 
11/18/2003,     1.1800,     1.1800,     1.1800,     1.1800,             0 
11/19/2003,     1.1300,     1.1300,     1.1300,     1.1300,             0 
11/20/2003,     1.1000,     1.1000,     1.1000,     1.1000,             0 
11/21/2003,     1.4000,     1.4000,     1.4000,     1.4000,             0 
11/24/2003,     1.3800,     1.3800,     1.3800,     1.3800,             0 
11/25/2003,     1.1700,     1.1700,     1.1700,     1.1700,             0 
11/26/2003,     1.7000,     1.7000,     1.7000,     1.7000,             0 
11/28/2003,     1.2800,     1.2800,     1.2800,     1.2800,             0 
12/01/2003,     1.3300,     1.3300,     1.3300,     1.3300,             0 
12/02/2003,     1.5600,     1.5600,     1.5600,     1.5600,             0 
12/03/2003,     1.4000,     1.4000,     1.4000,     1.4000,             0 
12/04/2003,     1.6200,     1.6200,     1.6200,     1.6200,             0 
12/05/2003,     1.7400,     1.7400,     1.7400,     1.7400,             0 
12/08/2003,     1.9100,     1.9100,     1.9100,     1.9100,             0 
12/09/2003,     1.3800,     1.3800,     1.3800,     1.3800,             0 
12/10/2003,     1.4600,     1.4600,     1.4600,     1.4600,             0 
12/11/2003,     1.2300,     1.2300,     1.2300,     1.2300,             0 
12/12/2003,     1.4900,     1.4900,     1.4900,     1.4900,             0 
12/15/2003,     1.1100,     1.1100,     1.1100,     1.1100,             0 
12/16/2003,     1.3500,     1.3500,     1.3500,     1.3500,             0 
12/17/2003,     1.3700,     1.3700,     1.3700,     1.3700,             0 
12/18/2003,     0.8700,     0.8700,     0.8700,     0.8700,             0 
12/19/2003,     1.5700,     1.5700,     1.5700,     1.5700,             0 
12/22/2003,     3.2800,     3.2800,     3.2800,     3.2800,             0 
12/23/2003,     1.6800,     1.6800,     1.6800,     1.6800,             0 
12/24/2003,     3.1200,     3.1200,     3.1200,     3.1200,             0 
12/26/2003,     2.9100,     2.9100,     2.9100,     2.9100,             0 
12/29/2003,     1.0900,     1.0900,     1.0900,     1.0900,             0 
12/30/2003,     1.8200,     1.8200,     1.8200,     1.8200,             0 
