Period,"US Investor Sentiment, % Bull-Bear Spread"
2019-11-07 00:00:00,16.3728
2019-10-31 00:00:00,5.5422
2019-10-24 00:00:00,7.3298
2019-10-17 00:00:00,2.5641
2019-10-10 00:00:00,-23.6504
2019-10-03 00:00:00,-18.0662
2019-09-26 00:00:00,-3.8876
2019-09-19 00:00:00,7.5188
2019-09-12 00:00:00,1.875
2019-09-05 00:00:00,-10.8642
2019-08-29 00:00:00,-16.0804
2019-08-22 00:00:00,-13.0841
2019-08-15 00:00:00,-21.6738
2019-08-08 00:00:00,-26.5392
2019-08-01 00:00:00,14.375
2019-07-25 00:00:00,-0.2809
2019-07-18 00:00:00,7.2864
2019-07-11 00:00:00,6.1111
2019-07-03 00:00:00,0.8022
2019-06-27 00:00:00,-2.4658
2019-06-20 00:00:00,-2.6229
2019-06-13 00:00:00,-7.3593
2019-06-06 00:00:00,-20.0549
2019-05-30 00:00:00,-15.2892
2019-05-23 00:00:00,-11.3725
2019-05-22 00:00:00,-11.3725
2019-05-16 00:00:00,-9.4736
2019-05-09 00:00:00,19.9275
2019-05-02 00:00:00,17.6829
2019-04-25 00:00:00,13.3522
2019-04-18 00:00:00,15.7361
2019-04-11 00:00:00,19.9041
2019-04-04 00:00:00,6.7511
2019-03-28 00:00:00,6.0
2019-03-21 00:00:00,13.8889
2019-03-14 00:00:00,1.3652
2019-03-07 00:00:00,10.6383
2019-02-28 00:00:00,21.6327
2019-02-21 00:00:00,13.9319
2019-02-14 00:00:00,10.0295
2019-02-07 00:00:00,17.0886
2019-01-31 00:00:00,0.0
2019-01-24 00:00:00,5.3435
2019-01-17 00:00:00,-2.7191
2019-01-10 00:00:00,9.0909
2019-01-03 00:00:00,-9.7484
2018-12-27 00:00:00,-18.75
2018-12-20 00:00:00,-22.4324
2018-12-13 00:00:00,-27.9661
2018-12-06 00:00:00,7.4468
2018-11-29 00:00:00,-5.5921
2018-11-22 00:00:00,-21.8855
2018-11-15 00:00:00,-0.8772
2018-11-08 00:00:00,10.0917
2018-11-01 00:00:00,3.4482
2018-10-25 00:00:00,-13.0269
2018-10-18 00:00:00,-1.0831
2018-10-11 00:00:00,-4.8484
2018-10-04 00:00:00,20.5479
2018-09-27 00:00:00,5.1181
2018-09-20 00:00:00,0.0
2018-09-13 00:00:00,-0.7462
2018-09-06 00:00:00,15.9259
2018-08-30 00:00:00,19.1057
2018-08-23 00:00:00,11.396
2018-08-16 00:00:00,7.0922
2018-08-09 00:00:00,5.3291
2018-08-02 00:00:00,-2.965
2018-07-26 00:00:00,4.6195
2018-07-19 00:00:00,9.7256
2018-07-12 00:00:00,13.8983
2018-07-05 00:00:00,-11.4206
2018-06-28 00:00:00,-12.3563
2018-06-21 00:00:00,12.5349
2018-06-14 00:00:00,23.0769
2018-06-07 00:00:00,12.2137
2018-05-31 00:00:00,8.6643
2018-05-24 00:00:00,13.3987
2018-05-17 00:00:00,16.095
2018-05-10 00:00:00,7.9787
2018-05-03 00:00:00,-1.8518
2018-04-26 00:00:00,11.3564
2018-04-19 00:00:00,8.5643
2018-04-12 00:00:00,-16.6666
2018-04-05 00:00:00,-4.7413
2018-03-29 00:00:00,-3.3932
2018-03-22 00:00:00,4.7478
2018-03-15 00:00:00,15.5125
2018-03-08 00:00:00,-1.9802
2018-03-01 00:00:00,13.8728
2018-02-22 00:00:00,21.8605
2018-02-15 00:00:00,27.1071
2018-02-08 00:00:00,2.0151
2018-02-01 00:00:00,16.013
2018-01-25 00:00:00,21.4285
2018-01-18 00:00:00,32.7239
2018-01-11 00:00:00,23.5989
2018-01-04 00:00:00,44.1975
2017-12-28 00:00:00,32.0106
2017-12-21 00:00:00,24.8756
2017-12-14 00:00:00,16.875
2017-12-07 00:00:00,2.6578
2017-11-30 00:00:00,4.3243
2017-11-23 00:00:00,6.4789
2017-11-16 00:00:00,-5.8696
2017-11-09 00:00:00,22.028
2017-11-02 00:00:00,16.4835
2017-10-26 00:00:00,6.6066
2017-10-19 00:00:00,10.0
2017-10-12 00:00:00,12.8655
2017-10-05 00:00:00,2.8
2017-09-28 00:00:00,4.5977
2017-09-21 00:00:00,12.9252
2017-09-14 00:00:00,19.3182
