Period,"US Investor Sentiment, % Bearish"
2019-11-07 00:00:00,23.9295
2019-10-31 00:00:00,28.4337
2019-10-24 00:00:00,28.2723
2019-10-17 00:00:00,31.0541
2019-10-10 00:00:00,43.9589
2019-10-03 00:00:00,39.4402
2019-09-26 00:00:00,33.2613
2019-09-19 00:00:00,27.8195
2019-09-12 00:00:00,31.25
2019-09-05 00:00:00,39.5062
2019-08-29 00:00:00,42.2111
2019-08-22 00:00:00,39.7196
2019-08-15 00:00:00,44.8498
2019-08-08 00:00:00,48.1953
2019-08-01 00:00:00,24.0625
2019-07-25 00:00:00,32.0225
2019-07-18 00:00:00,28.6432
2019-07-11 00:00:00,27.5
2019-07-03 00:00:00,32.3529
2019-06-27 00:00:00,32.0548
2019-06-20 00:00:00,32.1311
2019-06-13 00:00:00,34.1991
2019-06-06 00:00:00,42.5824
2019-05-30 00:00:00,40.0826
2019-05-23 00:00:00,36.0784
2019-05-22 00:00:00,36.0784
2019-05-16 00:00:00,39.2982
2019-05-09 00:00:00,23.1884
2019-05-02 00:00:00,21.3415
2019-04-25 00:00:00,20.1705
2019-04-18 00:00:00,21.8274
2019-04-11 00:00:00,20.3837
2019-04-04 00:00:00,28.27
2019-03-28 00:00:00,27.2
2019-03-21 00:00:00,23.4127
2019-03-14 00:00:00,31.058
2019-03-07 00:00:00,26.7477
2019-02-28 00:00:00,20.0
2019-02-21 00:00:00,25.387
2019-02-14 00:00:00,25.0737
2019-02-07 00:00:00,22.7848
2019-01-31 00:00:00,31.7568
2019-01-24 00:00:00,32.3155
2019-01-17 00:00:00,36.2538
2019-01-10 00:00:00,29.3706
2019-01-03 00:00:00,42.7673
2018-12-27 00:00:00,50.2976
2018-12-20 00:00:00,47.2973
2018-12-13 00:00:00,48.8701
2018-12-06 00:00:00,30.4965
2018-11-29 00:00:00,39.4737
2018-11-22 00:00:00,47.138
2018-11-15 00:00:00,35.9649
2018-11-08 00:00:00,31.1927
2018-11-01 00:00:00,34.4828
2018-10-25 00:00:00,40.9962
2018-10-18 00:00:00,35.0181
2018-10-11 00:00:00,35.4545
2018-10-04 00:00:00,25.1142
2018-09-27 00:00:00,31.1024
2018-09-20 00:00:00,32.0423
2018-09-13 00:00:00,32.8358
2018-09-06 00:00:00,26.2963
2018-08-30 00:00:00,24.3902
2018-08-23 00:00:00,27.0655
2018-08-16 00:00:00,29.078
2018-08-09 00:00:00,31.0345
2018-08-02 00:00:00,32.0755
2018-07-26 00:00:00,26.9022
2018-07-19 00:00:00,24.9377
2018-07-12 00:00:00,29.1525
2018-07-05 00:00:00,39.2758
2018-06-28 00:00:00,40.8046
2018-06-21 00:00:00,26.1838
2018-06-14 00:00:00,21.7033
2018-06-07 00:00:00,26.7176
2018-05-31 00:00:00,26.3538
2018-05-24 00:00:00,25.1634
2018-05-17 00:00:00,20.5805
2018-05-10 00:00:00,25.5319
2018-05-03 00:00:00,30.2469
2018-04-26 00:00:00,25.5521
2018-04-19 00:00:00,29.2191
2018-04-12 00:00:00,42.7536
2018-04-05 00:00:00,36.6379
2018-03-29 00:00:00,35.3293
2018-03-22 00:00:00,28.4866
2018-03-15 00:00:00,21.3296
2018-03-08 00:00:00,28.3828
2018-03-01 00:00:00,23.4104
2018-02-22 00:00:00,22.7907
2018-02-15 00:00:00,21.4123
2018-02-08 00:00:00,35.0126
2018-02-01 00:00:00,28.7582
2018-01-25 00:00:00,24.026
2018-01-18 00:00:00,21.3894
2018-01-11 00:00:00,25.0737
2018-01-04 00:00:00,15.5556
2017-12-28 00:00:00,20.6349
2017-12-21 00:00:00,25.6219
2017-12-14 00:00:00,28.125
2017-12-07 00:00:00,34.2193
2017-11-30 00:00:00,31.6216
2017-11-23 00:00:00,29.0141
2017-11-16 00:00:00,35.2174
2017-11-09 00:00:00,23.0769
2017-11-02 00:00:00,28.5714
2017-10-26 00:00:00,33.033
2017-10-19 00:00:00,27.931
2017-10-12 00:00:00,26.9006
2017-10-05 00:00:00,32.8
2017-09-28 00:00:00,28.7356
2017-09-21 00:00:00,27.2109
2017-09-14 00:00:00,21.9697
2017-09-07 00:00:00,35.7414
2017-08-31 00:00:00,39.8936
2017-08-24 00:00:00,38.292
2017-08-17 00:00:00,32.7982
2017-08-10 00:00:00,32.3333
2017-08-03 00:00:00,32.0988
2017-07-27 00:00:00,24.3243
2017-07-20 00:00:00,25.8065
2017-07-13 00:00:00,29.6296
2017-07-06 00:00:00,29.8592
2017-06-29 00:00:00,26.8571
2017-06-22 00:00:00,28.9116
2017-06-15 00:00:00,29.4821
2017-06-08 00:00:00,29.5276
2017-06-01 00:00:00,31.5385
2017-05-25 00:00:00,30.0
2017-05-18 00:00:00,34.2508
2017-05-11 00:00:00,30.2158
2017-05-04 00:00:00,29.9492
2017-04-27 00:00:00,31.7073
2017-04-20 00:00:00,38.7006
2017-04-13 00:00:00,37.3832
2017-04-06 00:00:00,39.6226
2017-03-30 00:00:00,37.3832
2017-03-23 00:00:00,30.504
2017-03-16 00:00:00,38.7013
2017-03-09 00:00:00,46.5
2017-03-02 00:00:00,35.6209
2017-02-23 00:00:00,32.3077
