Period,"US Investor Sentiment, % Bullish"
2019-11-07 00:00:00,40.3023
2019-10-31 00:00:00,33.9759
2019-10-24 00:00:00,35.6021
2019-10-17 00:00:00,33.6182
2019-10-10 00:00:00,20.3085
2019-10-03 00:00:00,21.374
2019-09-26 00:00:00,29.3737
2019-09-19 00:00:00,35.3383
2019-09-12 00:00:00,33.125
2019-09-05 00:00:00,28.642
2019-08-29 00:00:00,26.1307
2019-08-22 00:00:00,26.6355
2019-08-15 00:00:00,23.176
2019-08-08 00:00:00,21.6561
2019-08-01 00:00:00,38.4375
2019-07-25 00:00:00,31.7416
2019-07-18 00:00:00,35.9296
2019-07-11 00:00:00,33.6111
2019-07-03 00:00:00,33.1551
2019-06-27 00:00:00,29.589
2019-06-20 00:00:00,29.5082
2019-06-13 00:00:00,26.8398
2019-06-06 00:00:00,22.5275
2019-05-30 00:00:00,24.7934
2019-05-23 00:00:00,24.7059
2019-05-22 00:00:00,24.7059
2019-05-16 00:00:00,29.8246
2019-05-09 00:00:00,43.1159
2019-05-02 00:00:00,39.0244
2019-04-25 00:00:00,33.5227
2019-04-18 00:00:00,37.5635
2019-04-11 00:00:00,40.2878
2019-04-04 00:00:00,35.0211
2019-03-28 00:00:00,33.2
2019-03-21 00:00:00,37.3016
2019-03-14 00:00:00,32.4232
2019-03-07 00:00:00,37.386
2019-02-28 00:00:00,41.6327
2019-02-21 00:00:00,39.3189
2019-02-14 00:00:00,35.1032
2019-02-07 00:00:00,39.8734
2019-01-31 00:00:00,31.7568
2019-01-24 00:00:00,37.659
2019-01-17 00:00:00,33.5347
2019-01-10 00:00:00,38.4615
2019-01-03 00:00:00,33.0189
2018-12-27 00:00:00,31.5476
2018-12-20 00:00:00,24.8649
2018-12-13 00:00:00,20.904
2018-12-06 00:00:00,37.9433
2018-11-29 00:00:00,33.8816
2018-11-22 00:00:00,25.2525
2018-11-15 00:00:00,35.0877
2018-11-08 00:00:00,41.2844
2018-11-01 00:00:00,37.931
2018-10-25 00:00:00,27.9693
2018-10-18 00:00:00,33.935
2018-10-11 00:00:00,30.6061
2018-10-04 00:00:00,45.6621
2018-09-27 00:00:00,36.2205
2018-09-20 00:00:00,32.0423
2018-09-13 00:00:00,32.0896
2018-09-06 00:00:00,42.2222
2018-08-30 00:00:00,43.4959
2018-08-23 00:00:00,38.4615
2018-08-16 00:00:00,36.1702
2018-08-09 00:00:00,36.3636
2018-08-02 00:00:00,29.1105
2018-07-26 00:00:00,31.5217
2018-07-19 00:00:00,34.6633
2018-07-12 00:00:00,43.0508
2018-07-05 00:00:00,27.8552
2018-06-28 00:00:00,28.4483
2018-06-21 00:00:00,38.7187
2018-06-14 00:00:00,44.7802
2018-06-07 00:00:00,38.9313
2018-05-31 00:00:00,35.0181
2018-05-24 00:00:00,38.5621
2018-05-17 00:00:00,36.6755
2018-05-10 00:00:00,33.5106
2018-05-03 00:00:00,28.3951
2018-04-26 00:00:00,36.9085
2018-04-19 00:00:00,37.7834
2018-04-12 00:00:00,26.087
2018-04-05 00:00:00,31.8966
2018-03-29 00:00:00,31.9361
2018-03-22 00:00:00,33.2344
2018-03-15 00:00:00,36.8421
2018-03-08 00:00:00,26.4026
2018-03-01 00:00:00,37.2832
2018-02-22 00:00:00,44.6512
2018-02-15 00:00:00,48.5194
2018-02-08 00:00:00,37.0277
2018-02-01 00:00:00,44.7712
2018-01-25 00:00:00,45.4545
2018-01-18 00:00:00,54.1133
2018-01-11 00:00:00,48.6726
2018-01-04 00:00:00,59.7531
2017-12-28 00:00:00,52.6455
2017-12-21 00:00:00,50.4975
2017-12-14 00:00:00,45.0
2017-12-07 00:00:00,36.8771
2017-11-30 00:00:00,35.9459
2017-11-23 00:00:00,35.493
2017-11-16 00:00:00,29.3478
2017-11-09 00:00:00,45.1049
2017-11-02 00:00:00,45.0549
2017-10-26 00:00:00,39.6396
2017-10-19 00:00:00,37.931
2017-10-12 00:00:00,39.7661
2017-10-05 00:00:00,35.6
2017-09-28 00:00:00,33.3333
2017-09-21 00:00:00,40.1361
2017-09-14 00:00:00,41.2879
2017-09-07 00:00:00,29.2776
2017-08-31 00:00:00,25.0
2017-08-24 00:00:00,28.0992
2017-08-17 00:00:00,34.1743
2017-08-10 00:00:00,33.6667
2017-08-03 00:00:00,36.1111
2017-07-27 00:00:00,34.4595
2017-07-20 00:00:00,35.4839
2017-07-13 00:00:00,28.2407
2017-07-06 00:00:00,29.5775
2017-06-29 00:00:00,29.7143
2017-06-22 00:00:00,32.6531
2017-06-15 00:00:00,32.2709
2017-06-08 00:00:00,35.4331
2017-06-01 00:00:00,26.9231
2017-05-25 00:00:00,32.8571
2017-05-18 00:00:00,23.8532
2017-05-11 00:00:00,32.7338
2017-05-04 00:00:00,38.0711
2017-04-27 00:00:00,38.0488
2017-04-20 00:00:00,25.7062
2017-04-13 00:00:00,28.972
2017-04-06 00:00:00,28.3019
2017-03-30 00:00:00,30.2181
2017-03-23 00:00:00,35.2785
2017-03-16 00:00:00,31.1688
2017-03-09 00:00:00,30.0
2017-03-02 00:00:00,37.9085
2017-02-23 00:00:00,38.4615
2017-02-16 00:00:00,33.0909
2017-02-09 00:00:00,35.8025
2017-02-02 00:00:00,32.7982
2017-01-26 00:00:00,31.5789
2017-01-19 00:00:00,37.0079
2017-01-12 00:00:00,43.6364
2017-01-05 00:00:00,46.2006
2016-12-29 00:00:00,45.5696
2016-12-22 00:00:00,44.6064
2016-12-15 00:00:00,44.6575
2016-12-08 00:00:00,43.1211
2016-12-01 00:00:00,43.7751
2016-11-24 00:00:00,49.8938
2016-11-17 00:00:00,46.6531
2016-11-10 00:00:00,38.8889
2016-11-03 00:00:00,23.6364
2016-10-27 00:00:00,24.7549
2016-10-20 00:00:00,23.7395
2016-10-13 00:00:00,25.4717
2016-10-06 00:00:00,28.7946
2016-09-29 00:00:00,24.0
2016-09-22 00:00:00,24.826
2016-09-15 00:00:00,27.9379
2016-09-08 00:00:00,29.7468
2016-09-01 00:00:00,28.6
2016-08-25 00:00:00,29.4243
2016-08-18 00:00:00,35.5649
2016-08-11 00:00:00,31.2925
2016-08-04 00:00:00,29.7872
2016-07-28 00:00:00,31.25
2016-07-21 00:00:00,35.4251
2016-07-14 00:00:00,36.8664
2016-07-07 00:00:00,31.0573
2016-06-30 00:00:00,28.9125
2016-06-23 00:00:00,21.9697
2016-06-16 00:00:00,25.3472
2016-06-09 00:00:00,27.8317
2016-06-02 00:00:00,30.1676
2016-05-26 00:00:00,17.7515
2016-05-19 00:00:00,19.3384
2016-05-12 00:00:00,20.4082
2016-05-05 00:00:00,22.3301
2016-04-28 00:00:00,27.3663
2016-04-21 00:00:00,33.4052
2016-04-14 00:00:00,27.8481
2016-04-07 00:00:00,32.1918
2016-03-31 00:00:00,27.1805
2016-03-24 00:00:00,33.7808
2016-03-17 00:00:00,29.9587
2016-03-10 00:00:00,37.3576
2016-03-03 00:00:00,32.0158
2016-02-25 00:00:00,31.1947
2016-02-18 00:00:00,27.5605
2016-02-11 00:00:00,19.2385
2016-02-04 00:00:00,27.5472
2016-01-28 00:00:00,29.7535
2016-01-21 00:00:00,21.521
2016-01-14 00:00:00,17.8988
2016-01-07 00:00:00,22.1739
2015-12-31 00:00:00,25.0729
2015-12-24 00:00:00,26.3804
2015-12-17 00:00:00,23.8663
2015-12-10 00:00:00,28.5057
2015-12-03 00:00:00,29.4931
2015-11-26 00:00:00,32.3601
2015-11-19 00:00:00,30.7692
